name,author,rating,text,date
Y O,,3,"Food is alright, but there are other better options for Japanese cuisine in Melaka.

1. Ramen - Broth tasted alright, not too salty 👍🏻

2. Pork cutlet - Pork was thin for this price. Other restaurants serve thicker slices for this price 😅

3. Grilled chicken - This was the nicest food we had at Sushi San!

4. Pizza - Tasted alright, no wow factor to it

5. Ramen + grilled salmon - Not worth it, salmon was super small for the price charged.

6. Sushi - Sushi rice was under-seasoned? Not sure if it was the day we went only or it does taste like this on any other days.

7. Japanese rice - Very soft and sticky, again, not sure if it was the day we went only or it does taste like this on any other days.

8. Ambience & service - Environment was nice, we were able to have our own space to eat upon request. I appreciate that ☺️ service was considered good too as the waitress did constantly come to check our tea and refilled it for us",2024-12-13T03:58:10.572Z
Zo Ngaih Niang,,5,,2024-12-06T09:57:22.569Z
Giant Wee,,4,,2024-12-05T14:21:35.014Z
Lau Hui Zhen,,4,,2024-11-30T12:51:13.930Z
Zi kang Lim,,5,,2024-11-24T01:25:50.220Z
Ting Ting Wong,,5,,2024-11-13T04:59:06.109Z
Cheryn,,4,,2024-11-03T05:52:46.359Z
sharon low,,5,Staffs were very friendly and very efficient in service,2024-10-19T17:45:56.199Z
Chin fei Yu,,5,,2024-10-09T11:45:03.450Z
Lim Jia Jia,,5,"Staff is friendly and food is served hastily. Has free wifi, got air cond, very nice japanese wood hut vibe! Food price is reasonable for it's amount and quality",2024-10-09T10:31:25.708Z
Xin Xian Ong,,5,,2024-10-03T12:15:19.620Z
Zex0419,,5,那个豚骨拉面味道不错，那个汤很浓郁香甜，然后那个烤鱼也是考到很好吃。那个考的程度还有盐咸度刚刚好,2024-09-30T12:35:17.151Z
Susan Ng,,5,,2024-09-29T14:50:29.484Z
Choon Meng Ho,,1,"I was very disappointed to see a cockroach on our table while dining. It made the experience uncomfortable.

This raised serious concerns about the cleanliness of the restaurant. I informed the staff, but I didn’t see any immediate action taken.",2024-09-27T11:42:53.796Z
ericchoo,,4,"Food is nice above average.
But the wasapi can't make it, Thai green seafood souce match perfectly with Jap food remember.",2024-09-18T09:19:53.555Z
Tay yee en Paris,,5,Happy birthday Joey,2024-09-15T11:38:31.995Z
EL Wardrobe,,5,Happy birthday joey,2024-09-14T12:54:28.302Z
Jason Tan,,5,Happy birthday Joey,2024-09-14T11:27:58.390Z
Tan Chee Kiong,,5,"Happy Birthday, Joey",2024-09-14T10:30:28.181Z
Jeffery Lim,,4,,2024-09-13T02:10:40.005Z
vy teng,,5,Happy birthday Joey,2024-09-12T06:32:10.215Z
YOLO,,5,"KSB, Melaka. Not bad. Worth coming back.",2024-09-11T10:26:59.503Z
Katherine Yong,,5,Good service and great food!,2024-09-08T11:26:15.727Z
yen fen,,5,Happy birthday joey,2024-09-08T10:32:56.069Z
Chinkiat Yong,,5,Happy birthday joey,2024-09-08T10:23:42.523Z
Michaelim81 Lim,,5,Nice food and good service,2024-09-07T12:04:31.408Z
lee jane,,5,"儿子最爱吃的日本餐。。。也是他指定的店。
食物不错，都适合一家大小的口味。",2024-09-01T11:16:22.427Z
Jarod Quek Yeung Shern,,5,Good environment and food is good,2024-08-31T11:55:03.673Z
ah di,,5,"I enjoyed the food, the atmosphere was perfect for a meet up!",2024-08-30T11:40:52.176Z
Jan Ng,,5,Excellent！！！,2024-08-30T11:23:05.664Z
Cherryykx,,5,Good food good environment,2024-08-29T13:12:39.100Z
