name,author,rating,text,date
LT Wong,,5,"On Wednesday 2nd July 2025, we visited Sushi Mentai in Malim Jaya. Surprisingly, at 6:30 PM, we were able to get seats without having to queue, which is uncommon as there’s usually a queue of 3 to 4 tables by 6 PM on weekends.

Our all-time favorite is the SP12, which is salmon topped with some crunchy tempura and cucumber. The taste is delightful, especially after 80% of the salmon surface is lightly torched. It’s a dish we always enjoy.

The space, however, is quite cramped and narrow, leaving little room for children to move around. It’s something to consider if dining with kids.

As for pricing, each red plate costs RM3 and each yellow plate is RM2. Hot tea is priced at RM1 per glass. For a total of 12 red plates and 7 yellow plates, shared among three adults, our total bill came to RM60. It’s a pretty affordable option for Japanese food.",2025-07-02T11:55:52.688Z
Zhe Wei Teoh,,1,"I ordered a bowl of noodles. The noodles were ready, but no one went to get them. After waiting for a long time, I found that the noodles were ready at the door of the meal. The noodles were cold. I talked to the waiter, but the waiter replied o .",2025-06-28T07:54:12.271Z
Yunice,,4,A solid option for affordable yet quality sushi in Melaka,2025-06-27T16:09:21.792Z
polson fong,,4,,2025-06-26T05:35:59.986Z
Thomas Lim (Thomas),,5,,2025-06-26T01:51:03.499Z
goo alice,,4,,2025-06-21T01:38:09.384Z
Jin Lim,,2,"Staff super unfriendly, as if the customers owe them money. The menus weren't even taken away when the food was served. Waiters who served our food basically shoved it onto our table. We ordered a side dish and IT WAS PASSED TO US OVER THE CONVEYOR BELT. Absolutely terrible service.

If the service was bad and the food was good, it might be excusable, but the food was not even good. The ramen broth was water, lacking in flavor. The ramen itself has this weird soggy texture.
Side note: I wish they would separate the tempura from the udon. It's one small thing to do that's logical.

The only redeeming quality is the price. It's cheaper than a lot of the Japanese places in Melaka. But if I were you, I wouldn't waste this money.",2025-06-19T06:04:43.829Z
AllwithMuniq,,4,"Reasonable price !

They put so many tables and really packed with customers, feels like we were dine at foodcourt",2025-06-18T07:40:37.716Z
WenXing Li,,4,"Nice clean environment.
Value for money.",2025-06-16T06:23:35.933Z
jiazheng lim,,5,,2025-06-09T10:42:01.795Z
kelly wee,,1,第一次来也是最后一次来，服务态度太差…员工没礼貌拿order直接用拉的..不耐烦…戴眼镜穿蓝衣服有点胖的..不是来吃免费的有给钱的呢…好像我们顾客欠你似的…,2025-06-09T09:04:15.753Z
gan km,,3,"Place is small, very congested ,aircond not cold enough.  Food is OK.",2025-06-08T11:07:19.561Z
Miu JL,,5,"This sushi restaurant offers a wide selection of sushi at reasonable prices, all within a cozy atmosphere and with friendly service.",2025-06-05T08:22:37.259Z
ryant,,4,,2025-05-27T08:33:31.841Z
Grayson Gan,,2,"I had lunch today at Sushi Mentai (Malim branch) and unfortunately, the experience was quite disappointing. The sushi rice was a bit hard and loosely packed (松散), which affected the overall texture. The wasabi also lacked flavour. Service-wise, the staff's attitude left room for improvement, and the serving speed was very slow. I hope the management can look into these issues to improve the dining experience for future customers.",2025-05-25T08:07:13.002Z
Tootuu,,2,"The food here is tasty and affordable. But, for the business owner,please take note of your restaurant condition and staffing needs. When afternoon comes, with Malaysia's hot weather. Your four big airconds no longer functioning well. Even more when the restaurant is loaded with people(full house). The seating arrangement is too crowded, not suitable for families with small kids. You want to earn so much at one time by putting such many seats. But, the comfort level is compromised. Your staffs weren't happy working, all drenched with sweat. They also quarreled in front of customers. How can they prepare hygienic food and provide quality services?the dirty used mop is left near the sink area at the toilet entrance. A small girl who just wanted to go for a hand wash got their dress all wet from the dirty mop. Oh my God. Horrible experience coming here. I think I made a written-complaint before regarding the facilities and services, but seems like no actions taken. Today, I decided to take this to google review. One day, your business will suffer if you let these petty issues prolong,without putting your customers'and staffs' needs first.",2025-05-25T06:07:59.134Z
CY KK,,2,"The prices are affordable and the food is ok. However, there was a bad smell coming from the trash bin, which was noticeable during the meal. One of the staff used the same cloth to wipe both the table and the chair cushions. I reminded the staff on the spot not to do that, but he ignored me and continued wiping several chairs. Some chairs had a lot of food crumbs, and the staff wiped the entire surface, while for others, he used the cloth to pick up the crumbs directly.",2025-05-24T04:23:58.590Z
Na Zhiyun,,4,食物不错 感觉新鲜,2025-05-17T15:52:46.478Z
Seok Boon Tan,,5,食物美味，出菜快速 价钱公道,2025-05-12T23:42:03.054Z
darren 123,,5,,2025-05-11T07:54:45.877Z
Jolene琦琦,,5,,2025-05-01T12:50:57.137Z
Ck Lee,,3,,2025-05-01T00:25:21.704Z
Elliss Xiiaoting,,5,,2025-04-26T00:21:19.010Z
Tan Yu Le,,5,,2025-04-24T11:51:20.344Z
Xiao K Lim,,5,,2025-04-20T08:06:26.837Z
LeeZi Lee,,5,Good service,2025-04-20T04:48:44.487Z
Noob Jiji,,5,,2025-04-17T10:37:44.953Z
Chelsea Lee,,4,一切都是因为价钱而合理了😁😁😁😋,2025-04-09T06:10:54.728Z
Lee Jian rong,,1,服务态度很不好饭里面有头发最不喜欢服务员的态度,2025-04-08T17:42:10.099Z
SM See,,5,,2025-04-07T09:15:01.651Z
Ru Fang,,4,,2025-04-04T06:27:46.175Z
KS Goo,,1,,2025-03-29T01:25:28.735Z
David Ong,,4,,2025-03-28T07:53:31.574Z
Jessica Leow,,5,,2025-03-25T01:46:35.243Z
Khawarizmi Khairul Anuar,,5,,2025-03-21T11:03:38.824Z
Chris Lee,,5,Going to this place and was expecting sushi king standard didn't expected it to be good. I was wrong. Very decent sushi joint I would judge it to be better than Sushi-Go in Singapore.,2025-03-17T11:01:40.311Z
Jackie Sht,,5,,2025-03-12T01:42:27.715Z
Official Google Reviewer,,3,,2025-03-08T06:59:58.990Z
Ahnee Queenie,,1,"The table was smelly 🥲
the food was not fully served even after ordering, it took a long time to serve
food quality wist downzzzz",2025-03-06T08:31:00.764Z
Tee Catherine,,5,,2025-03-03T03:24:18.682Z
Chin Huei Goh,,4,,2025-03-01T11:12:26.569Z
Don Moghost,,5,Affordable Japanese food at a reasonable price. Friendly staff and good service.,2025-02-26T12:47:56.903Z
nadzirah mohammad,,4,😍😃 so happy,2025-02-22T11:41:17.946Z
Sachron Peytron,,5,,2025-02-15T05:47:58.734Z
Brandon Tee,,4,,2025-02-07T06:04:20.887Z
Shawn lim,,5,,2025-01-24T08:25:28.886Z
Mohd Anuar,,5,,2025-01-17T12:49:30.679Z
阴冷,,5,like usual always came here for meal,2025-01-10T08:53:07.290Z
咲萱,,3,"优点是便宜，味道中规中矩。服务还行，有遇到对顾客发脾气的服务员也见过态度热情服务周到的，看运气吧。
没什么氛围可言，便宜大碗是他之所以生意蒸蒸日上的原因",2025-01-05T20:37:35.532Z
Yan TieZheng,,4,"這算是馬六甲最受歡迎的平民日本壽司店了，價格親民（比起傳統的日本餐廳的確便宜很多），適合全家大小同來進餐，所以每天的每個不同時段都非常多人，餐點時間更是需要排隊，在店外坐著等待的人经常挺多。

食物味道不算精緻也不令人驚艷，但還是做到中規中矩令人飽食滿意的水平。

旋轉壽司的價格算是非常的便宜，我喜歡叫這裏的各種小吃（炸物、蒸蛋、蛋捲等），拉麵的味道不是很喜歡，飯類會比較好，看個人喜好吧。",2025-01-02T15:22:36.523Z
Alexcoffee Chong,,5,,2024-12-22T12:09:57.627Z
Koh Wei Jian,,4,,2024-12-14T15:34:34.847Z
pink chor,,5,,2024-12-10T15:51:06.296Z
Jean Tan,,5,Value for money sushi.,2024-12-06T01:53:45.304Z
Koh Kay Soon,,5,,2024-12-05T13:13:40.425Z
Ong Erik,,5,,2024-12-02T04:12:34.696Z
Annalee Siew Cheng,,1,"After pick up kids from school , just want to have a relaxing lunch with my kids at Sushi mentai,  but so disappointed it's super annoying environment when dine in. The staff clearing table with throwing all plates and cutlery into the tub , makes the whole place full of the noise, the sounds like breaking plates and staff pull the chairs also very hard. I'm sitting next to the table he clearing,  it's so desperate and he do it like no body business.  We as customer dine in , and as staff you want clearing should do it lightly,  then only we felt calm. Even I want to answer a call also need to walk out from the restaurant.  Really unbelievable, hope management of Sushi mentai will make changes about this part .",2024-11-20T11:04:37.554Z
jkhai,,1,"Cold food, hard rice, no any extra services but with 10% service tax, crowded n narrow dining place",2024-11-20T10:59:13.026Z
Yasir Rafeek,,5,The food was really great. I had a wonderful vibe and enjoyed my time at the restaurant. Slowly starting to love Sushi and Curry Udon.,2024-11-14T03:47:58.875Z
Wei Lun Low,,3,,2024-11-12T06:24:49.882Z
CSB,,2,"My fried katsu was served cold, I was expecting it to be fried hot and fresh.",2024-11-10T13:25:09.336Z
Koh Yi Zhe,,5,,2024-11-10T09:52:26.937Z
mingswee Chai,,1,"This is not the first time food missing!!!!
Always shortage when we order take away!!!!",2024-11-05T11:33:43.605Z
MarCo Tan,,5,Always my favourite for kids and family,2024-10-27T05:32:44.476Z
Jess Loh,,5,,2024-10-24T08:32:46.053Z
Baal,,4,Halal and good. Wish they have coca cola 😊,2024-10-22T06:59:39.035Z
TC Seng,,5,,2024-10-15T07:28:38.850Z
Weng Wong,,5,,2024-09-23T10:04:43.892Z
Kom Kom,,1,工作人员宁愿站着一起聊天都不会来服务，味道寿司🍣有的不知道是不是放很久在那个旋转上，炸虾都软了，其它食物不要有期望。。。工作人员服务严重有待加强。,2024-09-22T08:00:39.452Z
Ezy food,,5,,2024-09-19T08:17:35.347Z
Nyit pang,,1,"Very very bad service
Long waiting for take away even order advance
All staff just stand and like stupid not even follow up for the order",2024-09-10T05:56:48.493Z
Jimmy Wang,,4,,2024-08-31T22:27:05.614Z
Keong Kerk,,2,等坐位超久,2024-08-31T11:03:37.678Z
zifeng aow,,1,从开门吃到现在只有更差没有最差东西难吃，服务员梦游，一个水要等30小时应该是冲炒茶开始的咯。,2024-08-30T11:03:59.339Z
ryn cheerry,,5,,2024-08-26T04:35:27.855Z
STEVEN TAY,,5,超好吃又有口感一流。价位也超理想 🉐💯🈵🥰,2024-08-23T16:40:43.960Z
Alex xicor,,5,,2024-08-23T14:20:36.768Z
PC Sia,,5,,2024-08-22T07:24:36.119Z
shingo81,,5,,2024-08-21T14:59:20.484Z
T David Lee,,5,,2024-08-16T13:20:36.974Z
JAINE Yisien,,3,,2024-08-14T00:22:21.058Z
Ja'Mes Ang,,4,There is always a queue at Sushi Mentai. But you don't have to wait long though. They staff are fast and efficient. Food is nice  and fresh as always. Price is cheap too. Worth every penny. They have recently renovated but I miss the yellow light previously. More cozy.,2024-08-05T15:44:42.324Z
Shuang Ooi,,3,,2024-08-04T23:41:21.936Z
alex yuen,,4,,2024-08-04T05:01:11.395Z
Anita Wong,,4,,2024-07-29T13:50:45.734Z
TS CHONG,,3,,2024-07-27T10:22:41.574Z
Wong,,4,"Service fast and accurate
Japanese food varieties (according to the prices) and reasonable
Environment clean and tidy
Price reasonable",2024-07-27T10:06:33.530Z
hui zhang,,1,差东西不干净,2024-07-21T05:47:03.947Z
Francoise Argent,,4,"Food is super cheap compared to other sushi places but the employees look so sad. Please do give them more pay and look after your employees more. They work very hard but I don’t see them being happy.

Quite clean place but very loud and noisy. The place is quite small and cramped also. Not the best place to eat if you want to have a peaceful meal.",2024-07-13T16:33:57.997Z
Angeline Wee Xin Yun,,4,,2024-07-09T07:35:49.415Z
Anis Safiee,,3,no salmon.. 😢,2024-07-08T09:27:25.784Z
yuhxin yap,,5,,2024-07-06T05:06:01.830Z
Janet Lau,,2,连去了两次没有都生鱼片，而且是午饭时间，去寿司店没有生鱼片，失望,2024-07-05T13:28:39.474Z
KePohChi No 1,,5,,2024-06-25T16:19:01.719Z
Wong Chuin Leen,,1,,2024-06-24T09:33:07.577Z
Genzy Wong,,1,食物还行，可惜老板人品不行，我妈老人家开车疑似有点擦伤隔壁商店99 mart 马来女店员的车，他出来大小声，还说什么不要以为槟城人好欺负，只是要帮也在对我妈大小声的马来女。。。莫名其妙，说了去警察局调动CCTV 来检查他又说不得空。。。？,2024-06-24T09:23:52.239Z
LOO BAO JIE,,3,"This shop imposed 10% service tax although the order has been made through customer own phone. Service by them is only get the food and beverge to you. Service is just similar to others common restaurant.  Should review the service tax lower than 10% instead! Food price served here is reasonable if compared with others sushi restaurant. Surrounding felt hot when we visit here, seems like no air cond feel. They know to impose 10% service tax but no service on their air cond maintenance!",2024-06-19T01:49:40.795Z
Janet CY,,5,Many varieties,2024-06-14T00:23:44.794Z
Tan Li Yen,,5,Sushi Mentai茶碗蒸真的是我吃过最值得最多料最有诚意的 每次来必点啊啊啊 我真的是不管天塌下来还是怎么样 求求茶碗蒸千万不可以变质/退步/偷工减料 我真的会哭,2024-06-10T11:18:52.948Z
WENDY TEE (Miss Teo),,1,,2024-06-10T05:06:29.933Z
Lavigne Gue,,5,一如既往的好吃~~,2024-06-10T01:21:43.467Z
Csc Csc,,5,,2024-06-05T14:15:35.250Z
Clement Lim,,3,Environment can be more clean overall food can improve quality.,2024-06-03T13:46:41.558Z
gk gan,,1,很难吃,2024-06-03T07:43:30.427Z
Mark Town,,1,every time i come here theres no salmon sashimi🤦🏻‍♂️ cant believe a sushi shop don’t serve salmon especially during lunch,2024-05-31T03:59:41.914Z
Y gen,,4,,2024-05-27T15:42:38.167Z
Siok Hong Goh,,5,,2024-05-22T12:46:01.079Z
CL W,,4,,2024-05-12T12:45:58.905Z
Albert Chin,,3,,2024-05-06T09:59:48.246Z
meng soon Yeo,,5,,2024-04-30T14:49:16.623Z
ALBERT CHIN,,3,,2024-04-28T13:13:43.602Z
Mario Tye,,4,,2024-04-27T05:01:37.310Z
Calvin Kong,,3,"As the only Sushi Mentai in MLK, no matter how the taste is, it always has people come and visit. #youknowyouknow 🍣😀",2024-04-26T04:07:23.009Z
Sylvia Ng,,5,,2024-04-25T09:52:54.020Z
欣娜Shinna,,4,,2024-04-23T01:32:41.492Z
