Review,food_rating,service_rating,atmosphere_rating,Review_clean,Review_en,sentiment
"Ichi Zen in Melaka used to be one of the best Japanese restaurants in town it was once my absolute favourite. Unfortunately, it no longer lives up to its old standards. The quality and experience just aren’t the same anymore.With so many new and better Japanese spots popping up in Melaka, I find myself choosing other places instead. It’s a little sad to say, because Ichi Zen used to be my go-to. Hoping to see improvements in the future!Food: 4/5  |  Service: 4/5  |  Atmosphere: 4/5Noise levelQuiet, easy to talkWait timeUp to 10 min",4.0,4.0,4.0,"Ichi Zen in Melaka used to be one of the best Japanese restaurants in town it was once my absolute favourite. Unfortunately, it no longer lives up to its old standards. The quality and experience just aren’t the same anymore.With so many new and better Japanese spots popping up in Melaka, I find myself choosing other places instead. It’s a little sad to say, because Ichi Zen used to be my go-to. Hoping to see improvements in the future! Noise levelQuiet, easy to talkWait timeUp to 10 min","Ichi Zen in Melaka used to be one of the best Japanese restaurants in town. It was once my absolute favorite. Unfortunately, it no longer lives up to its old standards. The quality and experience just aren't the same anymore. With so many new and better Japanese spots popping up in Melaka, I find myself choosing other places instead. It's a little sad to say, because Ichi Zen used to be my go-to. Hoping to see improvements in the future! Noise level Quiet, easy to talk Wait timeUp to 10 minutes",positive
increase the price but the portion lesser😑Although the food taste good but it is a bit expensiveFood: 3/5  |  Service: 5/5  |  Atmosphere: 5/5,3.0,5.0,5.0,increase the price but the portion lesser😑Although the food taste good but it is a bit expensive,Increase the price but the portion less Although the food tastes good but it's a bit expensive,positive
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Noise levelModerate noiseGroup sizeSuitable for all group sizes,5.0,5.0,5.0,Noise levelModerate noiseGroup sizeSuitable for all group sizes,Noise levelModerate noiseGroup sizeSuitable for all group sizes,positive
"My monthly must go to restaurant to get my Japanese food fix. Especially the salmon sashimi. As usual the wait staff were efficient and polite. Shout out to Mr Jamson.. job well done. 26/5/2025Ichi Zen Pavilion KL has always been my favourite place. Today, I decided to try the one in Melaka. It did not disappoint.I ordered the salmon sashimi set, the chicken teriyaki set and a tempura set. Plus a salmon head syoyaki and black sesame Ebi tempura.Every dish was as it should be, quality maintained and freshness of the food was great.I will definitely revisit. Have a look at what we ordered. This place gets a 5☆ on food and the service staff was polite and efficient.#Japanese #sashimi #Sushi #tempura1 July 2023 - update,  had the hot pot and it was great. The Macha ice cream was light and not too sweet, as it should be❤️By@crazykookycookFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",5.0,5.0,5.0,"My monthly must go to restaurant to get my Japanese food fix. Especially the salmon sashimi. As usual the wait staff were efficient and polite. Shout out to Mr Jamson.. job well done. 26/5/2025Ichi Zen Pavilion KL has always been my favourite place. Today, I decided to try the one in Melaka. It did not disappoint.I ordered the salmon sashimi set, the chicken teriyaki set and a tempura set. Plus a salmon head syoyaki and black sesame Ebi tempura.Every dish was as it should be, quality maintained and freshness of the food was great.I will definitely revisit. Have a look at what we ordered. This place gets a 5☆ on food and the service staff was polite and efficient.#Japanese #sashimi #Sushi #tempura1 July 2023 - update, had the hot pot and it was great. The Macha ice cream was light and not too sweet, as it should be❤️By@crazykookycook","My monthly must go to the restaurant to get my Japanese food fix. Especially the salmon sashimi. As usual the wait staff were efficient and polite. Shout out to Mr. Jamson.. job well done. 26/5/2025Ichi Zen Pavilion KL has always been my favorite place. Today, I decided to try the one in Melaka. It didn't disappoint. I ordered the salmon sashimi set, the chicken teriyaki set and a tempura set. Plus a salmon head syoyaki and black sesame Ebi tempura.Every dish was as it should be, the quality maintained and freshness of the food was great. I will revisit. Have a look at what we ordered. By this place gets a 5☆ on food and the service staff was polite and efficient. #sashimi #Sushi #Sushi #tempura Japan1 July 2023 - The pot had the hot update and it was definitely not too sweet and it should be as easy as Macha.",positive
"The food here was great n there were some dishes which I never had B4 at other japanese restaurant..like the tofu in black sesame sauce that was totally delicious 😋 ..n the prawns fried in a black sesame batter..just had to try it n both was totally amazing 😍 ..service crew was on hand all the time veryefficient..atmosphere was ok with some japanese lanterns n a separate sitting at the bar where fresh food is served n cooked..a bit pricey but worth it.. 😋Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5Noise levelModerate noiseSeating typeIndoor dining area, Counter seating, Private dining roomParking spacePlenty of parking",5.0,5.0,4.0,"The food here was great n there were some dishes which I never had B4 at other japanese restaurant..like the tofu in black sesame sauce that was totally delicious 😋 ..n the prawns fried in a black sesame batter..just had to try it n both was totally amazing 😍 ..service crew was on hand all the time veryefficient..atmosphere was ok with some japanese lanterns n a separate sitting at the bar where fresh food is served n cooked..a bit pricey but worth it.. 😋 Noise levelModerate noiseSeating typeIndoor dining area, Counter seating, Private dining roomParking spacePlenty of parking","The food here was great n there were some dishes that I never had B4 at any other Japanese restaurant..like the tofu in black sesame sauce that was totally delicious 😋 ..n the shrimp fried in a black sesame batter..just had to try it n both were totally amazing 😍 ..service crew was on hand all the time very efficient..atmosphere was ok with some Japanese lanterns n a separate sitting at the bar where fresh food is served n cooked..a bit expensive but worth it.. 😋 Noise levelModerate noise Seating typeIndoor dining area, counter seating, private dining roomParking spaceLots of parking",positive
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,,This is not the case.,positive
"The food is delicious and the portions are quite generous. The environment is also very comfortable, and the staff are all very polite. The dishes were served quickly. The sashimi was very fresh and we really liked it.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Group size3-4 people",5.0,5.0,5.0,"The food is delicious and the portions are quite generous. The environment is also very comfortable, and the staff are all very polite. The dishes were served quickly. The sashimi was very fresh and we really liked it. Group size3-4 people","The food is delicious and the portions are quite generous. The environment is also very comfortable, and the staff are all very polite. The dishes were served quickly. The sashimi was very fresh and we really liked it. Group size 3-4 people",positive
"The location is pretty quiet but once in the dining area, u will see the crowd. Spoilt for choices on menu & would over order due to greed for food!Food: 5/5  |  Service: 4/5  |  Atmosphere: 5/5",5.0,4.0,5.0,"The location is pretty quiet but once in the dining area, u will see the crowd. Spoilt for choices on menu & would over order due to greed for food!","The location is pretty quiet but once in the dining area, you'll see the crowd spoiled for choices on the menu & would overorder due to greed for food!",positive
"Ichi Zen isn’t new to me, yet I’ve never thought of leaving a review—until today. Here’s what I ordered:.### 🍲 **Sukiyaki Set (RM28)**The beef slices were decent, the broth was hot, and dipping the meat in cooked it instantly. But here’s the real question—should the raw egg go into the soup or onto the rice? Honestly, I wasn’t sure, but does it really matter? As long as it tastes good, that’s what counts..### 🍊 **Vita C Booster (RM14.80)**Refreshing, zesty, and left me wanting more. A great pick-me-up..### ☕ **Americano (RM8.80)**It was okay—nothing to shout about, but then again, this isn’t a specialty coffee house..### 💧 **Drinking Water (RM1)**A bit surprising to see this on the bill. I personally feel a complimentary glass would be a nice touch, especially when switching between juice and coffee to reset the palate..#### ⭐ **Room for Improvement?**A few tiny flies were hovering around—not a major issue, but noticeable. Could be due to the lingering seafood aroma in the air. Perhaps better ventilation or pest control measures could help..### **Would I return?**Yes, whenever I crave a satisfying Japanese meal..### **Would I recommend it?**Absolutely. The restaurant carries a classic charm, and the ambience makes it a pleasant dining spot...JSE@20250331Food: 5/5  |  Service: 5/5  |  Atmosphere: 3/5Parking spacePlenty of parkingParking optionsPaid parking lot, Paid street parking",5.0,5.0,3.0,"Ichi Zen isn’t new to me, yet I’ve never thought of leaving a review—until today. Here’s what I ordered:.### 🍲 **Sukiyaki Set (RM28)**The beef slices were decent, the broth was hot, and dipping the meat in cooked it instantly. But here’s the real question—should the raw egg go into the soup or onto the rice? Honestly, I wasn’t sure, but does it really matter? As long as it tastes good, that’s what counts..### 🍊 **Vita C Booster (RM14.80)**Refreshing, zesty, and left me wanting more. A great pick-me-up..### ☕ **Americano (RM8.80)**It was okay—nothing to shout about, but then again, this isn’t a specialty coffee house..### 💧 **Drinking Water (RM1)**A bit surprising to see this on the bill. I personally feel a complimentary glass would be a nice touch, especially when switching between juice and coffee to reset the palate..#### ⭐ **Room for Improvement?**A few tiny flies were hovering around—not a major issue, but noticeable. Could be due to the lingering seafood aroma in the air. Perhaps better ventilation or pest control measures could help..### **Would I return?**Yes, whenever I crave a satisfying Japanese meal..### **Would I recommend it?**Absolutely. The restaurant carries a classic charm, and the ambience makes it a pleasant dining spot...JSE@20250331 Parking spacePlenty of parkingParking optionsPaid parking lot, Paid street parking","Ichi Zen isn't new to me, yet I've never thought of leaving a review until today. Here's what I ordered:###  **Sukiyaki Set (RM28) **The beef slices were decent, the broth was hot, and dipping the meat in cooked it instantly. But here's the real question should the raw egg go into the soup or onto the rice? Honestly, I wasn't sure, but does it really matter? As long as it tastes good, that's what counts..### **Vita C# Booster (RM14.80) **Refreshing, zesty, and left me wanting more. A great pick-up.",positive
My favorite Japanese restaurantFood: 5/5  |  Service: 5/5  |  Atmosphere: 4/5,5.0,5.0,4.0,My favorite Japanese restaurant,My favorite Japanese restaurant,positive
"Came here during lunch, staffs were incredibly polite, food was fast, at this price point the sashimi considered fresh. Hotate shroom scallops were good, garlic fried rice very fragrant definitely try, but Japanese curry cutlet was mediocre would skip.. Amazing service, would come again 👍🏻Food: 4/5  |  Service: 5/5  |  Atmosphere: 5/5",4.0,5.0,5.0,"Came here during lunch, staffs were incredibly polite, food was fast, at this price point the sashimi considered fresh. Hotate shroom scallops were good, garlic fried rice very fragrant definitely try, but Japanese curry cutlet was mediocre would skip.. Amazing service, would come again 👍🏻","Came here during lunch, staff were incredibly polite, food was fast, at this price point the sashimi was considered fresh. Hotate shroom scallops were good, garlic fried rice very fragrant definitely try, but Japanese curry cutlet was mediocre would skip.. Amazing service, would come again 👍🏻",positive
"Nice & comfortable environment for dining. Staffs are very polite and helpful. Their service are great. All the food are really tasty and big portion, prices are reasonable. We really enjoyed it! Highly recommended.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",5.0,5.0,5.0,"Nice & comfortable environment for dining. Staffs are very polite and helpful. Their service are great. All the food are really tasty and big portion, prices are reasonable. We really enjoyed it! Highly recommended.","Nice & comfortable dining environment. The staff are very polite and helpful. Their service is great. All the food is really tasty and large portion, prices are reasonable. We really enjoyed it! Highly recommended.",positive
"Excellent Japanese / Asian food selection. Taste, wow. Service, excellentFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",5.0,5.0,5.0,"Excellent Japanese / Asian food selection. Taste, wow. Service, excellent","Excellent selection of Japanese/Asian food. Taste, wow. Service, excellent.",positive
Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,,This is not the case.,positive
Food: 1/5  |  Service: 1/5  |  Atmosphere: 1/5,1.0,1.0,1.0,,This is not the case.,negative
Really very good and appreciate work by this team keep it up go ahead,,,,Really very good and appreciate work by this team keep it up go ahead,Really very good and appreciate the work by this team keep it up go ahead,positive
Aunthentic Japanese Foods with great service from the staffs.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5,5.0,5.0,5.0,Aunthentic Japanese Foods with great service from the staffs.,Authentic Japanese Foods with great service from the staff.,positive
服务很好，食物也很新鲜Order type: …More,,,,服务很好，食物也很新鲜Order type:,The service is good and the food is fresh Order type:,positive
Food: 5/5  |  Service: 5/5,5.0,5.0,,,This is not the case.,positive
在水凖中Order type: …More,,,,在水凖中Order type:,Order type in the water tank:,neutral
"Family friendly , nice food and servicesFood: 5/5  |  Service: 5/5  |  Atmosphere: 5/5",5.0,5.0,5.0,"Family friendly , nice food and services","Family friendly , nice food and services",positive
"Wonderful food. The food is quite expensive at around RM40 for the food we ordered. But it tastes amazing with a lot of salmon slices and salmon roe. The only possible complain is that during our visit, it is quite noisy and loud, that is it difficult to talk to the people you came with.Food: 5/5  |  Service: 5/5  |  Atmosphere: 3/5",5.0,5.0,3.0,"Wonderful food. The food is quite expensive at around RM40 for the food we ordered. But it tastes amazing with a lot of salmon slices and salmon roe. The only possible complain is that during our visit, it is quite noisy and loud, that is it difficult to talk to the people you came with.","The food is quite expensive at around RM40 for the food we ordered. But it tastes amazing with a lot of salmon slices and salmon roe. The only possible complaint is that during our visit, it is quite noisy and loud, that is difficult to talk to the people you came with.",positive
生鱼片新鲜好吃，拉面不错，汤很浓！Food: …More,,,,生鱼片新鲜好吃，拉面不错，汤很浓！Food:,"Fresh, fresh fish, good toast, delicious cooking! Food:",positive
"Ichi Zen@Melaka serves high-quality Japanese cuisine, offering a great variety of dishes. During our visit, we tried the Soba Fish Set, Kimchi Soup Duck Ramen, and Pork Broth Shabu Shabu. The Soba Fish Set was well-balanced with fresh fish and perfectly cooked soba noodles. The Kimchi Soup Duck Ramen had a delightful spicy tang, and the duck slices were tender and juicy. The Pork Broth Shabu Shabu was rich and satisfying, with fresh ingredients. Overall, it was an excellent dining experience.2 🌟 - Below Average: Needs improvement in multiple areas, not meeting expectations.3 🌟 - Standard, Average: Meets basic expectations, nothing exceptional but acceptable.4 🌟 - Standard, Above Average: Exceeds expectations slightly, better than the norm.5 🌟 - Special & Unique: Outstanding experience, highly memorable and exceptional.Food: 5/5  |  Service: 5/5  |  Atmosphere: 5/5Recommended dishesSalmon Sushi Mori To, Buta Tonkotsu Viru",5.0,5.0,5.0,"Ichi Zen@Melaka serves high-quality Japanese cuisine, offering a great variety of dishes. During our visit, we tried the Soba Fish Set, Kimchi Soup Duck Ramen, and Pork Broth Shabu Shabu. The Soba Fish Set was well-balanced with fresh fish and perfectly cooked soba noodles. The Kimchi Soup Duck Ramen had a delightful spicy tang, and the duck slices were tender and juicy. The Pork Broth Shabu Shabu was rich and satisfying, with fresh ingredients. Overall, it was an excellent dining experience.2 🌟 - Below Average: Needs improvement in multiple areas, not meeting expectations.3 🌟 - Standard, Average: Meets basic expectations, nothing exceptional but acceptable.4 🌟 - Standard, Above Average: Exceeds expectations slightly, better than the norm.5 🌟 - Special & Unique: Outstanding experience, highly memorable and exceptional. Recommended dishesSalmon Sushi Mori To, Buta Tonkotsu Viru","Ichi Zen@Melaka serves high-quality Japanese cuisine, offering a great variety of dishes. During our visit, we tried the Soba Fish Set, Kimchi Soup Duck Ramen, and Pork Broth Shabu Shabu. The Soba Fish Set was well-balanced with fresh fish and perfectly cooked soba noodles. The Kimchi Soup Duck Ramen had a delightful spicy tang, and the duck slices were tender and juicy. The Pork Broth Shabu Shabu was rich and satisfying, with fresh ingredients. Overall, it was an excellent dining experience.2  - Below Average: Needs improvement in multiple areas, not meeting expectations.3  - Standard, Average: Meets basic expectations, nothing exceptional but acceptable.4  - Above, Average: Excessions standards, slightly better than the Special Expectations,  Specials and Recommended Vushies,  Specials,  Specials and Recommended Vushies,  Specials,  Specials,  Specials and Recommended Vushies, ",positive
Food: 4/5  |  Service: 4/5  |  Atmosphere: 4/5,4.0,4.0,4.0,,This is not the case.,positive
Food: 3/5  |  Service: 3/5  |  Atmosphere: 3/5,3.0,3.0,3.0,,This is not the case.,neutral
