Review_en,text_clean,food_rating,service_rating,atmosphere_rating,sentiment
ReservationRecommended reservationsNoise levelModerate noise,reservationreservations recommendednoise levelmoderate noise,5.0,5.0,4.0,neutral
"Hokkaido don is a real disappointment. RM82 is not cheap. But SO MUCH rice and very little sashimi and uni (sea urchin). Sashimi-type scallop should be sweet tasting but the scallops they have, totally TASTELESS. First time tasting such a tasteless sashimi. No freshness. No taste. Sashimi salmon was average. Uni is small until very pathetic, but taste of it is ok. Just too little for this pricing. Disappointment. Ordered their nabeyaki udon too. It came with pork shabu which is not bad. Usually it comes with chicken but this place does not put in.","hokkaido don is a real disappointment. rm82 is not cheap. but so much rice and very little sashimi and uni (sea urchin). sashimi-type of scallop should be sweet tasting but the scallops they have, totally tasteless. first time tasting such a tasteless sashimi. no freshness. no taste. sashimi salmon was average. uni is little until very pathetic, but taste of it is ok. just too little for this pricing. disappointment.ordered their nabeyaki udon too. it came with pork shabu which is not bad. usually it comes chicken but this place dont put chicken in. they put pork shabu slices.their yusheng for chinese new year is not bad. maybe cause the sweet sauce with the yusheng ingredients...chawanmushi is pricey too. rm12 for a normal small portion with very usual ingredients inside.sanma fish too fishy taste too.",3.0,3.0,3.0,negative
Very nice environment. Food is fabulous and value for money,very nice ambient. food is fabulous and value for money,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,1.0,2.0,2.0,negative
Still good for a quick bite of Japanese food Group size 5-8 people Seating typeIndoor dining area,still good for a quick bit of japanese food,5.0,5.0,4.0,positive
"Noise level Quiet, easy to talkWait timeNo wait","noise levelquiet, easy to talk",4.0,4.0,4.0,positive
"I like their unagi udon, melting in my mouth.",svc excellent. food n beverage 12 likes .. i like their unagi udon. melting in d mouth. must try..,5.0,5.0,5.0,positive
Very good cuisine with specialties you don't usually find..Zen ambiance Very good service,très bonne cuisine avec des spécialités qu’on ne trouve pas habituellement..ambiance zentrès bon service,,,,positive
"The dining experience was very enjoyable, and a huge part of that was thanks to Hui Xin. I was served by Hui Xin on three separate occasions. Her customer service was absolutely top-notch, and she was able to take my special request orders correctly every time. She also paid great attention to detail and she was very proactive. She will definitely come back in the future. Noise level Quiet, easy to talk","the dining experience was very enjoyable, and a huge part of that was thanks to hui xin. i was served by hui xin on three separate occasions. her customer service was absolutely top-notch, and she was able to take my special request orders correctly every time. she also paid great attention to detail and she was very proactive. will definitely come back in the future. noise levelquiet, easy to talk",5.0,5.0,5.0,positive
This is not the case.,this is not the case.,4.0,5.0,5.0,positive
ReservationReservations recommendedGroup sizeSuitable for all group sizes,reservationreservations recommended,5.0,5.0,5.0,positive
"I love that taco, it's delicious! And a second glass of wine, half price, I highly recommend!",超好吃！很喜欢那个taco，很美味！而且酒第二杯半价，很推荐！,,,,positive
Nice authentic Japanese cuisine to dine in Melaka. Food is heavenly & worth the wait. Queue is long like unagi if you don't book in advance:-) Group size3-4 people Seating typeIndoor dining area,nice authentic japanese cuisine to dine in melaka. food is heavenly & worth the wait. queue is long like unagi if you don’t book in advance:-),5.0,4.0,5.0,positive
"Ichi Zen in Melaka used to be one of the best Japanese restaurants in town. It was once my absolute favorite. Unfortunately, it no longer lives up to its old standards. The quality and experience just aren't the same anymore. With so many new and better Japanese spots popping up in Melaka, I find myself choosing other places instead. It's a little sad to say, because Ichi Zen used to be my go-to. Hoping to see improvements in the future! Noise level Quiet, easy to talk Wait timeUp to 10 minutes","ichi zen in melaka used to be one of the best japanese restaurants in town it was once my absolute favourite. unfortunately, it no longer lives up to its old standards. the quality and experience just aren’t the same anymore.with so many new and better japanese spots popping up in melaka, i find myself choosing other places instead. it’s a little sad to say, because ichi zen used to be my go-to. hoping to see improvements in the future! noise levelquiet, easy to talk",4.0,4.0,4.0,positive
Increase the price but the portion less Although the food tastes good but it's a bit expensive,increase the price but the portion lesser expressionless face although the food taste good but it is a bit expensive,3.0,5.0,5.0,positive
Noise levelModerate noiseGroup sizeSuitable for all group sizes,noise levelmoderate noise,5.0,5.0,5.0,positive
"My monthly must go to the restaurant to get my Japanese food fix. Especially the salmon sashimi. As usual the wait staff were efficient and polite. Shout out to Mr. Jamson.. job well done. 26/5/2025Ichi Zen Pavilion KL has always been my favorite place. Today, I decided to try the one in Melaka. It didn't disappoint. I ordered the salmon sashimi set, the chicken teriyaki set and a tempura set. Plus a salmon head syoyaki and black sesame Ebi tempura.Every dish was as it should be, the quality maintained and freshness of the food was great. I will revisit. Have a look at what we ordered. By this place gets a 5☆ on food and the service staff was polite and efficient. #sashimi #Sushi #Sushi #tempura Japan1 July 2023 - The pot had the hot update and it was definitely not too sweet and it should be as easy as Macha.","my monthly must go to restaurant to get my japanese food fix. especially the salmon sashimi. as usual the wait staff were efficient and polite. shout out to mr jamson.. job well done. 26/5/2025ichi zen pavilion kl has always been my favourite place. today, i decided to try the one in melaka. it did not disappoint.i ordered the salmon sashimi set, the chicken teriyaki set and a tempura set. plus a salmon head syoyaki and black sesame ebi tempura.every dish was as it should be, quality maintained and freshness of the food was great.i will definitely revisit. have a look at what we ordered. this place gets a 5☆ on food and the service staff was polite and efficient.#japanese #sashimi #sushi #tempura1 july 2023 - update, had the hot pot and it was great. the macha ice cream was light and not too sweet, as it should be red heart by@crazykookycook",5.0,5.0,5.0,positive
"The food here was great n there were some dishes that I never had B4 at any other Japanese restaurant..like the tofu in black sesame sauce that was totally delicious 😋 ..n the shrimp fried in a black sesame batter..just had to try it n both were totally amazing 😍 ..service crew was on hand all the time very efficient..atmosphere was ok with some Japanese lanterns n a separate sitting at the bar where fresh food is served n cooked..a bit expensive but worth it.. 😋 Noise levelModerate noise Seating typeIndoor dining area, counter seating, private dining roomParking spaceLots of parking",the food here was great n there were some dishes which i never had b4 at other japanese restaurant..like the tofu in black sesame sauce that was totally delicious face savoring food ..n the prawns fried in a black sesame batter..just had to try it n both was totally amazing smiling face with heart-eyes ..service crew was on hand all the time veryefficient..atmosphere was ok with some japanese lanterns n a separate sitting at the bar where fresh food is served n cooked..a bit pricey but worth it.. face savoring food noise levelmoderate noise,5.0,5.0,4.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"The food is delicious and the portions are quite generous. The environment is also very comfortable, and the staff are all very polite. The dishes were served quickly. The sashimi was very fresh and we really liked it. Group size 3-4 people","the food is delicious and the portions are quite generous. the environment is also very comfortable, and the staff are all very polite. the dishes were served quickly. the sashimi was very fresh and we really liked it.",5.0,5.0,5.0,positive
"The location is pretty quiet but once in the dining area, you'll see the crowd spoiled for choices on the menu & would overorder due to greed for food!","the location is pretty quiet but once in the dining area, u will see the crowd. spoilt for choices on menu & would over order due to greed for food!",5.0,4.0,5.0,positive
"Ichi Zen isn't new to me, yet I've never thought of leaving a review until today. Here's what I ordered:###  **Sukiyaki Set (RM28) **The beef slices were decent, the broth was hot, and dipping the meat in cooked it instantly. But here's the real question should the raw egg go into the soup or onto the rice? Honestly, I wasn't sure, but does it really matter? As long as it tastes good, that's what counts..### **Vita C# Booster (RM14.80) **Refreshing, zesty, and left me wanting more. A great pick-up.","ichi zen isn’t new to me, yet i’ve never thought of leaving a review—until today. here’s what i ordered:.### pot of food **sukiyaki set (rm28)**the beef slices were decent, the broth was hot, and dipping the meat in cooked it instantly. but here’s the real question—should the raw egg go into the soup or onto the rice? honestly, i wasn’t sure, but does it really matter? as long as it tastes good, that’s what counts..### tangerine **vita c booster (rm14.80)**refreshing, zesty, and left me wanting more. a great pick-me-up..### hot beverage **americano (rm8.80)**it was okay—nothing to shout about, but then again, this isn’t a specialty coffee house..### droplet **drinking water (rm1)**a bit surprising to see this on the bill. i personally feel a complimentary glass would be a nice touch, especially when switching between juice and coffee to reset the palate..#### star **room for improvement?**a few tiny flies were hovering around—not a major issue, but noticeable. could be due to the lingering seafood aroma in the air. perhaps better ventilation or pest control measures could help..### **would i return?**yes, whenever i crave a satisfying japanese meal..### **would i recommend it?**absolutely. the restaurant carries a classic charm, and the ambience makes it a pleasant dining spot...jse@20250331",5.0,5.0,3.0,positive
My favorite Japanese restaurant,my favorite japanese restaurant,5.0,5.0,4.0,positive
"Came here during lunch, staff were incredibly polite, food was fast, at this price point the sashimi was considered fresh. Hotate shroom scallops were good, garlic fried rice very fragrant definitely try, but Japanese curry cutlet was mediocre would skip.. Amazing service, would come again 👍🏻","came here during lunch, staffs were incredibly polite, food was fast, at this price point the sashimi considered fresh. hotate shroom scallops were good, garlic fried rice very fragrant definitely try, but japanese curry cutlet was mediocre would skip.. amazing service, would come again thumbs up light skin tone",4.0,5.0,5.0,positive
"Nice & comfortable dining environment. The staff are very polite and helpful. Their service is great. All the food is really tasty and large portion, prices are reasonable. We really enjoyed it! Highly recommended.","nice & comfortable environment for dining. staffs are very polite and helpful. their service are great. all the food are really tasty and big portion, prices are reasonable. we really enjoyed it! highly recommended.",5.0,5.0,5.0,positive
"Excellent selection of Japanese/Asian food. Taste, wow. Service, excellent.","excellent japanese / asian food selection. taste, wow. service, excellent",5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,1.0,1.0,1.0,negative
Really very good and appreciate the work by this team keep it up go ahead,really very good and appreciate work by this team keep it up go ahead,,,,positive
Authentic Japanese Foods with great service from the staff.,aunthentic japanese foods with great service from the staffs.,5.0,5.0,5.0,positive
The service is good and the food is fresh Order type:,服务很好，食物也很新鲜order type:,,,,positive
This is not the case.,this is not the case.,5.0,5.0,,positive
Order type in the water tank:,在水凖中order type:,,,,neutral
"Family friendly , nice food and services","family friendly , nice food and services",5.0,5.0,5.0,positive
"The food is quite expensive at around RM40 for the food we ordered. But it tastes amazing with a lot of salmon slices and salmon roe. The only possible complaint is that during our visit, it is quite noisy and loud, that is difficult to talk to the people you came with.","wonderful food. the food is quite expensive at around rm40 for the food we ordered. but it tastes amazing with a lot of salmon slices and salmon roe. the only possible complain is that during our visit, it is quite noisy and loud, that is it difficult to talk to the people you came with.",5.0,5.0,3.0,positive
"Fresh, fresh fish, good toast, delicious cooking! Food:",生鱼片新鲜好吃，拉面不错，汤很浓！food:,,,,positive
"Ichi Zen@Melaka serves high-quality Japanese cuisine, offering a great variety of dishes. During our visit, we tried the Soba Fish Set, Kimchi Soup Duck Ramen, and Pork Broth Shabu Shabu. The Soba Fish Set was well-balanced with fresh fish and perfectly cooked soba noodles. The Kimchi Soup Duck Ramen had a delightful spicy tang, and the duck slices were tender and juicy. The Pork Broth Shabu Shabu was rich and satisfying, with fresh ingredients. Overall, it was an excellent dining experience.2  - Below Average: Needs improvement in multiple areas, not meeting expectations.3  - Standard, Average: Meets basic expectations, nothing exceptional but acceptable.4  - Above, Average: Excessions standards, slightly better than the Special Expectations,  Specials and Recommended Vushies,  Specials,  Specials and Recommended Vushies,  Specials,  Specials,  Specials and Recommended Vushies, ","ichi zen@melaka serves high-quality japanese cuisine, offering a great variety of dishes. during our visit, we tried the soba fish set, kimchi soup duck ramen, and pork broth shabu shabu. the soba fish set was well-balanced with fresh fish and perfectly cooked soba noodles. the kimchi soup duck ramen had a delightful spicy tang, and the duck slices were tender and juicy. the pork broth shabu shabu was rich and satisfying, with fresh ingredients. overall, it was an excellent dining experience.2 glowing star - below average: needs improvement in multiple areas, not meeting expectations.3 glowing star - standard, average: meets basic expectations, nothing exceptional but acceptable.4 glowing star - standard, above average: exceeds expectations slightly, better than the norm.5 glowing star - special & unique: outstanding experience, highly memorable and exceptional.",5.0,5.0,5.0,positive
This is not the case.,this is not the case.,4.0,4.0,4.0,positive
This is not the case.,this is not the case.,3.0,3.0,3.0,neutral
"Excellent Japanese restaurant.Came here because I wanted to charge my car while we had lunch.I had a large family to feed with 3 kids and 5 adults.All in all cost RM295.We didn't order sashimi though so that kept the cost down.The edamame was one of the freshest I've had in Singapore and Malaysia.Ordered sushi, tamago, sukiyaki, tempura...all were great.Dessert was very great too. Had moochi and this ice cream red bean pancake.Highly recommended!","excellent japanese restaurant.came here cos i wanted to charge my car while we had lunch.had a large family to feed with 3 kids and 5 adults. all in costed rm295. we didn't order sashimi though so that kept the cost down.the edamame was one of the freshest i've had in singapore and malaysia.ordered sushi, tamago, sukiyaki, tempura...all were great.dessert was very great too. had moochi and this ice cream redbean pancake.highly recommended!",5.0,4.0,5.0,positive
"This is my first time in this restaurant. The food is fast service, but the rice I am not happy about it. The sushi rice was over sour, and this taste was not a sushi. The sushi It falls apart when you pick it up... The meals in the set menu, the salmon fish don, are not enough shots, and the rice is also fair, too dry... The food is not worth the price... shame Noise levelModerate noiseGroup size2 peopleWait timeNo waitSeating typeIndoor dining area, Bar areaParking spaceLots of parking optionsPaid street parking","this is my first time this restaurant. the food is fast service, but the rice i'm not happy about it. the sushi rice was over sour, and this taste was not a sushi. the sushi it falls apart when you pick it up... the meals in the set menu, the salmon fish don, are not enough shots, and the rice is also fair, too dry... the food is not worth the price... ashame noise levelmoderate noise",2.0,3.0,2.0,negative
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"The sushi and sashimi are super fresh, the Gyu Kara Ramen is full of flavor, and the Chashu Curry Yakimeshi is a must try! Cozy vibes, friendly staff, and top-notch quality  everything here feels premium. If you are craving Japanese food in Melaka, this is the place.","the sushi and sashimi are super fresh, the gyu kara ramen is full of flavor, and the chashu curry yakimeshi is a must try! cozy vibes, friendly staff, and top-notch quality – everything here feels premium. if you’re craving japanese food in melaka, this is the spot. confirm will come back! sushi steaming bowl clapping hands",5.0,5.0,5.0,positive
"The food here is incredibly fresh and absolutely delicious, perfectly matching my taste. The service is excellent, with staff being attentive and friendly. The restaurant is also very clean and well maintained, creating a pleasant dining environment. It's an amazing experience overall, and I'll definitely be coming back. Highly recommend!","the food here is incredibly fresh and absolutely delicious, perfectly matching my taste. the service is excellent, with staff being attentive and friendly. the restaurant is also very clean and well-maintained, creating a pleasant dining environment. it’s an amazing experience overall, and i’ll definitely be coming back again. highly recommend!",5.0,5.0,5.0,positive
"We were the only customer. Food: could have been better. All small portion. What's the point as customer will just keep ordering more. Consider serving the appropriate portion so less work for Ur kitchen and servers. Environment: nicely decoratedService: here is where it gets interesting. There were about 5-6 staff but they are more interested in chatting and playing with their phones. Food ordered not even delivered to us. Ended up needing to leave after a while of waiting. When walking out, saw the food in the kitchen but the staff just busy with their phones. Again, my wife and I were the ONLY customer at that time. LOL.","went for lunch on 18nov around 1pm.we were the only customer.food: could have been better. all small portion. what's the point as customer will just continue to order more. do consider serving appropriate portion so less job for ur kitchen and servers.environment: nicely decoratedservice: here is where it gets interesting. there were about 5-6 staff but they're more interested in chatting and playing with their phones. food ordered not even delivered to us. ended up need to leave after awhile of wait. when walking out, saw the food ready at the kitchen but the staffs just busy with their phones. again, me and my wife were the only customer at that time. lol.",3.0,1.0,4.0,negative
The food was really delicious.,food was really delicious,5.0,5.0,5.0,positive
"In one of the famous Japanese restaurants listed, each dish provides a quality standard for you to enjoy the real sushi served on your table.","the one of the famous japanese restaurant listed, every dish provides with a quality standard for you to enjoy the real sushi served on your table. besides, the staffs and waiters are helpful and friendly.",5.0,5.0,5.0,positive
Very good,very good,5.0,5.0,5.0,positive
"Good food, fresh to order, spacious seating, nice atmosphere.","good food, fresh-made to order. spacious seating, nice atmosphere.",5.0,5.0,5.0,positive
I love the food here - fresh prices are also affordable.,和家人来吃了一次丰盛的午餐。非常喜欢这边的食物-新鲜价格也实惠。,,,,positive
Really like ramen & udon . Will come back again .,really like here ramen & udon .will come back again,4.0,5.0,5.0,positive
Environment niceDo bring sweater (just in case) Food is great Recommended dishes Seafood Fried Rice,environment nicedo bring sweater (just in case)food is great,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"Salmon Sashimi very nice, fresh and thick. Salmon Mentai Yaki, salmon mixture with mayonnaise surprisingly good. Chicken Nanban To Yasai Tempura No Pirikara Mayo, tempura and chicken, the chicken is tender and juicy, very nice. Staff very friendly, will keep on coming to check if need to refill green tea and will introduce every food when served. Will definitely come back Recommended dishesParking spaceLots of parking optionsFree of charge parking lot, Free of charge street parking","salmon sashimi very nice, fresh and thick. salmon mentai yaki, salmon mix with mayonnaise surprisingly is good. chicken nanban to yasai tempura no pirikara mayo, tempura and chicken, the chicken is tender and juicy, very nice. staff very friendly, will keep on come to check whether need to refill green tea and will introduce every food when served. will definitely come back again",5.0,5.0,5.0,positive
Good food and service! Their salmon and all food very fresh & delicious. Beer still got half price! Will come to visit again👍,good food and service! their salmon and all food very fresh & delicious. beer still got half price! will come to visit again thumbs up,5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,4.0,positive
The ingredients were fresh and the food presentation also up to the point. The only thing was the price was a little high compared to others.,the ingredients were fresh and the food presentation also up to the point. the only thing was the price was a little bit high compared to others.,4.0,5.0,4.0,positive
"The food is delicious, the price is high, the service is good ❤️ There are many menu options.✨",好好吃，性价比高，服务也很好 red heart 菜单选择也多 sparkles,,,,positive
"In Malayalam, this Japanese restaurant is definitely the number one and number two dining paradise. Not only are the dishes delicious, but you can also accumulate points by becoming a member, exchange meals and desserts. Order type:",在马六甲，这家日本餐厅绝对是数一数二的美食天堂。不仅菜品美味，还可以通过成为会员来累积积分，兑换美食和甜点。order type:,,,,positive
"The price is on the higher side, but given the excellent service, food quality, and atmosphere, it was overall a pleasant dining experience. I particularly enjoyed the spacious dining area and the efficient food serving time. 😊","the price is on the higher side, but given the excellent service, food quality, and atmosphere, it was overall a pleasant dining experience.i particularly enjoyed the spacious dining area and the efficient food serving time. smiling face with smiling eyes",,,,positive
Credit to Ms. Doris who is always delighted to assist us with a bright smile.,credit to ms.doris who always delightful to assist us with a bright smile. she's definitely a gem of your branch tulip,5.0,5.0,5.0,positive
"I brought my family and an American friend, they really enjoyed it.",brought my family and one american friend. they enjoyed it very much. authentic taste here.,5.0,5.0,5.0,positive
"My first dining experience at Ichi Zen Japanese Restaurant...place is chic and cozy...have the Zen feel upon entering the restaurant. We ordered Grilled Salmon in Creamy Sauce Pasta which was delicious. Then ordered Soba Ramen with Shoyu broth with Tempura Moriawase...portion was big and jumbo shrimps were so fresh and succulent. Also ordered Grilled YakiTori which was tasty...texture of the grilled chicken thigh meats was a ""Thumbs-Up"" compared to other restaurants we tasted. Lastly we had Aged Zenashi Tofu...yummy. we will definitely dine at the Japanese Restaurant to try other delicious dishes they have to serve Anago Ichi Tempura.","my 1st dining experience at ichi zen japanese restaurant ...place is chic and cozy...have the zen feel upon entering the restaurant. we ordered grilled salmon in creamy sauce pasta which was delicious. then ordered soba ramen with shoyu broth with tempura moriawase...portion was big and jumbo shrimps were so fresh and succulent. also ordered grilled yakitori which was tasty...texture of the grilled chicken thigh meats was a ""thumbs-up"" compared to other restaurants we tasted. lastly we had agedashi tofu...yummy. we'll sure dine at ichi zen japanese restaurant to try other delicious dishes they have to serve.",5.0,5.0,5.0,positive
"I think most Malaysians don't know what Japanese food is probably because most of them have never had the chance to experience the real thing the food here is not nice at all, sober down and not value for money.","i think most malaysian don't know what japanese food is. probably because most of them have never get the chance to experience the real thing. the food here is not nice at all, sobered down and not value for money.",1.0,1.0,3.0,negative
"Freshly embroidered, sushi is delicious, and it's arguably the best sauce on horseback 👍Food:",刺身新鮮，壽司飯好吃，可說是馬六甲最棒的哦 thumbs up food:,,,,positive
The food is nice.,the food is nice,5.0,5.0,5.0,positive
"Gyokai Yakimeshi - Seafood fried rice, it was really good. It has a sufficient amount of seafood pieces like scallops and shrimps to compliment the rice. The serving is just nice for 1 person and cost RM14. Tori Momo Esunikku yaki Curry Rice - Rice served with a ladle full of curry with chunks of vegetables, slices of roasted chicken, and a bowl of miso soup. It was a large amount, perhaps enough for 2 people, it tasted as it should, silky smoothry sauce which was not spicy and a little sweet dish. Some pieces of curry chicken were just priced RM2 and cost RM4.","dropped by with my parents to ichi zen restaurant after church today to get a japanese food fix. it was quite serene inside the restaurant, and very clean.we ordered 3 main dishes, with 4 pieces of sushi.1. gyokai yakimeshi - seafood fried rice, it was really good. it has a sufficient amount of seafood pieces like scallops and prawns to compliment the rice. the serving is just nice for 1 person and costed rm14.2. tori momo esunikku yaki curry rice - rice served with a ladle full of curry with chunks of vegetables, slices of roasted marinated chicken, and a bowl of miso soup. it was a large amount, maybe sufficient for 2 people, it tasted as it should, silky smooth curry gravy which wasn't spicy and a little sweet, and the chicken pieces were juicy. it costed rm29, quite pricey in my opinion.3. una salmon volcano don - i think this was one of their speciality, because it was delicious. sushi rice with cucumber, egg and pickled radish i think in the centre, then topped off with slices of salmon belly and unagi (eel), and a half cooked egg which just binds the whole dish together. it had a few pops that looked like salmon roe, but it had a soy sauce taste in it. some chemistry action there. quite pricey this one but worth it - rm35.4. four random sushi pieces - salmon yuzu aburi sushi (rm4), hana ebiko sushi (rm8), inari chuka idako sushi (rm5), and california salmon belly sushi (rm6). we enjoyed all of them with a good amount of wasabi.we had hot green tea which was bottomless, to compliment all the dishes.overall, we enjoyed our experience there, and surely will visit again soon.",5.0,4.0,5.0,positive
Excellent services by Mr. Jamson who always puts extra effort on assisting us.,excellent services by mr.jamson who always putting extra effort on assisting us.,5.0,5.0,5.0,positive
"It was a great day to go on vacation and eat this Japanese food, and it was a great experience.",那天假期来马六甲走走来 吃这家日本料理食物真的都好好吃 而且环境很好很不错的一次用餐体验,,,,positive
I found a fish cartilage in my takoyaki and I had to go to Klinik to remove it as it got stuck in my throat,i found a fish cartilage in my takoyaki and i had to go to klinik to remove it as it got stuck in my throat,3.0,4.0,5.0,negative
"Overall satisfied with the dining experience.We are a large group of 15 pax, manage to secure a good seating arrangement via phone reservation. There are more choices because of non-halal. Taste and quality","overall satisfied with the dining experience.we are a big group of 15 pax, manage to secure a good seating arrangement via phone reservation. there are more choices because of non halal. taste and quality",,,,positive
"The service is good, the food is delicious, and we hope to continue to cook Order type:",服务很好，食物很美味，希望继续保持 pink heart order type:,,,,positive
"I walked in at 11 am on a Monday without a reservation and was warmly introduced to a table with four seats. As a solo diner, I appreciated not being shunted to a counter seat for once. Service was efficient, courteous and attentive. The sashimi was very fresh and tasty and excellently presented. This was my most satisfying meal in Melaka and I look forward to a encore visit.","walked in at 11 am on a monday without a reservation and was warmly ushered to a table with four seats. as a solo diner, i appreciated not being shunted to a counter seat for once. service was efficient, courteous and attentive. the sashimi was very fresh and tasty and excellently presented. this was my most satisfying meal in melaka and i look forward to an encore visit.",5.0,5.0,5.0,positive
This is not the case.,this is not the case.,5.0,5.0,5.0,positive
"The environment is clean and comfortable, the food is tasty","environment is clean and comfortable, food is tasty",5.0,5.0,5.0,positive
Good food,好吃food:,,,,positive
A decent Japanese restaurant with the usual favorites available.,a decent japanese restaurant with the usual favourites available. a large selection of sake is also available.,4.0,4.0,4.0,positive
"The restaurant is very lively. The cuisine is usually more expensive than the cost of the food. The sausage is tastier and cheaper in Malacca, where there are many shops.",お店は活気があっていい感じ。料理は値段のワリには普通で割高に感じてしまう。サーモン刺身はもっと美味しくて安いお店がマラッカにはたくさんある。,,,,positive
"Melaka has wazen, ichizen and senjutei, which are the holy trinity of Japanese restaurants. These types of Japanese restaurants you should know what you will be paying. So price aside, I think they have their 'special' food which has the truffle sauce thing. You can try it in the sushi/alacartes/noodle. I would highly recommend to try some of that and others are all on standard. Disappointing food for me is the katsu mentai don iirc, not good. The serving time is relatively fast so a big plus for me. Use public bank card got discount. I recommend to try this place at least once or twice.","melaka has wazen, ichizen and senjutei, which are the holy trinity of japanese restaurants. these types of japanese restaurant you should know what you will be paying. so price aside, i think they have their 'specialty' food which has the truffle sauce thing. you can try it in the sushi/alacartes/noodle. i would highly recommend to try some of that and others are all on standard. disappointing food for me is the katsu mentai don iirc, not good. the serving time is relatively fast so a big plus for me. use public bank card got discount. recommend to try this place at least once or twice.",4.0,5.0,4.0,positive
Food is good and waiters are attentive and helpful 👍,food is good and waiters are attentive and helpful thumbs up,4.0,4.0,4.0,positive
I loved very good food nice presentation nice server food:,j'ai adoré très bonne nourriture belle présentation serveur sympathiquefood:,,,,positive
"It's good to serve, food is good to eat  Meal type:",服务好，食物都好吃 smiling face with heart-eyes,,,,positive
"Food and price are not compatible with each other.Pricey in comparison to other Japanese restaurants in Malacca,but for this premium price, we would expect it to be better than the other restaurant.But to our disappointment, the food is below expectation.The best service in the restaurant goes to the person who served tea.Gently and humbly served frequently according to need.","food and price are not compatible to each other. pricey compared to other japanese restaurants in malacca,but for this premium price, we would expect it to be better than the other restaurant. but to our disappointment, the food is below expectation.the best service in the restaurant goes to the person who served tea. gently and humbly served frequently according to need.",1.0,2.0,3.0,negative
This is not the case.,this is not the case.,4.0,5.0,4.0,positive
